unique,artist,title,month_year_top,instruments,intended_reaction,volume,services,translations,simplicity,monthly_listeners,merch_sold,tickets_sold,duration_listene,views_song,articles,speed,lyrical_tone,lyrical_tone,year,common_genre,intended_age,awards_won,billboard_hot_100,music_video_4
TPS1,The Weekend,Blinding Lights,Nov 2019,8,4,-6,3,6,2,112.9,"75,000","1,500,000",2.75,"7,500,000,000",30,171,3,3,2019,1,18,0,20.7,1
TPS2,Glass Animals,Heat Waves,Oct 2020,10,7,-7,3,4,3,22.2,"15,000",,2.25,"640,000,000",10,81,3,2,2020,6,15,0,13.8,0
TPS3,Harry Styles,As It Was,Apr 2022,10,7,-5,5,6,2,46.5,"100,000","3,000,000",2.75,"850,000,000",25,174,3,2,2022,2,15,1,3.4,1
TPS4,Mariah Carey,All I Want for Christmas is You,Jan 2000,4,3,-7,4,10,1,27,"50,000","100,000",1.75,"800,000,000",15,150,7,7,2000,2,10,2,6.7,1
TPS5,The Weekend and Ariana Grande,Save Your Tears,Mar 2020,5,5,-5,8,5,1,112.9,,,2.25,"950,000,000",30,118,2,4,2020,1,18,0,7.6,1
TPS6,The Kid LAROI and Justin Bieber ,Stay,Jul 2021,7,3,-5,4,4,1,46,"50,000","200,000",2.25,"2,700,000,000",12,170,3,6,2021,3,15,0,13.6,0
TPS7,Miley Cyrus,Flowers,Jan 2023,10,6,-5,3,6,1,55.4,"65,000","150,000",2.25,"1,250,000,000",20,118,4,7,2023,2,15,0,2.3,1
TPS8,Ed Sheeran,Shape Of You,Jan 2017,3,1,-3,3,11,1,70.9,"10,000","3,000,000",2.75,"3,500,000,000",40,96,6,5,2017,2,15,1,13.6,1
TPS9,Ed Sheeran,Bad Habits,Jun 2021,6,4,-4,3,5,2,70.9,"10,000","3,000,000",2.25,"700,000,000",40,126,3,5,2021,2,15,0,5.5,0
TPS10,Lewis Capaldi,Someone You Loved,Nov 2018,3,10,-6,3,7,2,32.3,"35,000","600,000",2.25,"1,500,000,000",8,110,2,2,2018,2,15,0,17.7,1
TPS11,Nickelback,How You Remind Me,Sep 2001,10,6,-5,3,3,2,22.7,"45,000","400,000",2.25,"1,000,000,000",5,172,3,7,2001,4,25,1,13.8,1
TPS12,Dua Lipa & DaBaby,Levitating,Apr 2020,9,1,-2,4,6,1,64.6,"55,000","200,000",2.5,"800,000,000",25,103,6,8,2020,2,15,1,15.9,1
TPS13,"Usher, Lil' Jon and Ludacris",Yeah! ,Jan 2004,4,1,-5,5,5,1,41.3,"30,000","200,000",2.25,"1,200,000,000",40,105,8,8,2004,1,18,1,9.5,0
TPS14,Ed Sheeran,Perfect,Mar 2017,5,10,-6,9,8,2,70.9,"100,000","3,000,000",2.75,"1,800,000,000",40,95,9,3,2017,2,15,0,8.5,1
TPS15,Ed Sheeran,Shivers,Sep 2021,4,3,-3,2,4,2,70.9,"100,000","3,000,000",2.75,"1,000,000,000",10,141,7,7,2021,2,15,0,4.8,0
TPS16,Wham!,Last Christmas,Jan 2000,3,2,-12,3,10,1,14.6,"20,000",,1.75,"500,000,000",3,108,3,6,2000,2,10,0,3.7,1
TPS17,Luis Fonsi & Daddy Yankee,Despacito,Jan 2017,5,2,-5,2,15,3,20.7,"50,000","100,000",2.75,"3,500,000,000",8,178,7,6,2017,8,15,0,12.9,1
TPS18,Tones & I,Dance Monkey,Jun 2019,6,1,-6,4,7,2,11.9,"15,000","150,000",2.25,"1,300,000,000",5,98,3,3,2019,2,10,0,6,0
TPS19,"P Diddy, Usher, and Loon",I Need A Girl,Mar 2002,7,4,-7,3,3,1,11.4,"15,000","200,000",2.25,"200,000,000",4,200,6,6,2002,3,18,0,7,0
TPS20,The Killers,Mr. Brightside,May 2004,9,10,-5,3,4,3,26.1,"40,000","400,000",2.75,"500,000,000",6,148,2,4,2004,5,18,0,15,1
TPS21,Mary J Blige,Family Affair,Jul 2001,8,1,-4,4,3,1,11.7,"25,000","100,000",2.25,"200,000,000",6,93,4,5,2001,1,15,1,7,0
TPS22,Elton John & Dua Lipa,Cold Heart ,Aug 2021,10,6,-6,2,5,2,48.2,"50,000","1,000,000",2.75,"500,000,000",10,116,3,4,2021,2,15,0,8.5,1
TPS23,Taylor Swift,Anti-Hero,Oct 2022,7,8,-7,3,6,2,91.3,"150,000","4,000,000",2.25,"300,000,000",40,97,3,5,2022,7,15,0,6.7,0
TPS24,Lifehouse,Hanging By a Moment,Feb 2001,6,5,-5,3,2,2,5.5,"12,500","100,000",2.25,"200,000,000",4,125,6,4,2001,5,15,0,12,1
TPS25,Timbaland & One Republic,Apologize,Apr 2007,9,10,-6,3,6,1,21.5,"25,000","450,000",2.25,"200,000,000",6,118,2,6,2007,3,15,1,12,1
TPS26,Taylor Swift,Cruel Summer,Aug 2019,8,1,-6,2,3,1,91.3,"150,000","4,000,000",2.75,"500,000,000",10,170,4,4,2019,7,15,0,7.1,0
TPS27,David Guetta & Bebe Rhexa,I'm Good (Blue),Aug 2022,10,1,-4,5,4,1,75.9,"35,000","250,000",2.25,"400,000,000",8,128,10,8,2022,9,18,0,5.3,0
TPS28,The Black Eyed Peas,I Gotta Feeling,Jun 2009,8,1,-6,3,8,1,41.8,"50,000","350,000",2.75,"600,000,000",10,128,9,8,2009,3,15,0,3.2,1
TPS29,Morgan Wallen,Last Night,Feb 2023,6,3,-5,4,2,2,38.4,"55,000","900,000",2.25,"250,000,000",10,204,3,4,2023,7,18,0,3.2,0
TPS30,Eminem,Lose Yourself,Oct 2002,10,7,-5,5,5,3,75.7,"100,000","100,000",2.75,"1,500,000,000",15,171,3,8,2002,3,15,1,2.8,1
TPS31,Billie Eilish ,Bad Guy,Apr 2019,7,2,-11,6,15,1,58,"300,000","500,000",2.5,"1,000,000,000",40,135,5,7,2019,10,15,1,12,1
TPS32,Mariah Carey,We Belong Together,Apr 2005,9,6,-8,5,10,1,24,"150,000","300,000",3,"300,000,000",20,140,3,3,2005,1,18,1,14,1
TPS33,Alicia Keys,Fallin' ,Jun 2001,8,7,-8,2,9,2,22,"100,000","200,000",3.5,"200,000,000",15,96,5,6,2001,1,15,1,10,0
TPS34,Three Doors Down,Kryptonite,Apr 2000,8,5,-6,2,8,2,9,"80,000","150,000",3,"300,000,000",5,99,3,6,2000,5,15,0,11,0
TPS35,Snow Patrol,Chasing Cars,Jun 2006,7,9,-5,2,12,2,10,"50,000","120,000",3,"200,000,000",5,104,5,2,2006,5,10,0,16,1
TPS36,Mark Ronson & Bruno Mars,Uptown Funk,Nov 2014,6,1,-7,3,18,1,50,"200,000","250,000",3.5,"4,500,000,000",10,115,8,9,2014,2,15,2,14,1
TPS37,Faith Hill,Breathe,Jan 2000,10,5,-9,5,8,2,5,"70,000","100,000",3,"100,000,000",5,137,7,3,2000,7,15,0,13,0
TPS38,24Goldn & Iann Dior,Mood,Aug 2020,8,2,-4,3,10,1,26,"120,000","150,000",2.5,"300,000,000",10,91,3,5,2020,3,15,0,12,0
TPS39,Nelly & Kelly Rowland,Dilemma,Jul 2002,8,1,-8,2,9,1,18,"60,000","200,000",3.5,"500,000,000",10,168,4,5,2002,1,15,1,10,0
TPS40,Pharell Williams,Happy,Aug 2013,5,3,-5,2,16,1,25,"150,000","150,000",3,"1,000,000,000",15,160,10,8,2013,2,15,0,16,0
TPS41,The Pussycat Dolls,Don't Cha,May 2005,3,2,-3,4,9,1,10,"100,000","100,000",3,"200,000,000",10,120,6,5,2005,2,18,0,9,0
TPS42,Santana & The Product G,Maria Maria,Feb 2000,7,4,-6,2,8,1,14,"50,000","100,000",3.5,"200,000,000",5,98,4,4,2000,4,15,1,10,1
TPS43,OutKast,Hey Ya!,Oct 2003,5,6,-2,3,12,3,22,"100,000","150,000",3.5,"1,000,000,000",10,80,3,6,2003,3,15,1,14,1
TPS44,Train,Drops Of Jupiter (Tell Me),Mar 2001,3,4,-6,5,8,2,15,"70,000","150,000",3.5,"200,000,000",10,79,6,4,2001,5,10,0,11,0
TPS45,Olivia Rodrigo,Good 4 U,May 2021,9,8,-5,6,11,1,75,"500,000","600,000",3,"500,000,000",50,167,3,7,2021,2,15,1,10,1
TPS46,50 Cent,In Da Club,Jan 2003,6,1,-3,2,10,1,34,"200,000","250,000",3,"1,000,000,000",20,90,7,5,2003,3,18,1,12,1
TPS47,Coldplay,Viva la vida,May 2008,10,9,-7,5,15,3,90,"300,000","2,000,000",3,"1,500,000,000",40,138,3,2,2008,2,15,1,8,1
TPS48,Mario,Let Me Love You,Oct 2004,7,5,-5,5,9,2,10,"40,000","100,000",3.5,"200,000,000",5,95,3,3,2004,1,15,0,14,1
TPS49,Lil Nas X & Billy Ray Cyrus,Old Town Road,Mar 2019,4,2,-6,4,10,1,35,"300,000","300,000",3,"1,000,000,000",30,136,6,7,2019,3,15,2,19,0
TPS50,Rihanna & Jay-Z,Umbrella,Apr 2007,5,5,-5,5,14,1,80,"400,000","800,000",3.5,"1,000,000,000",20,174,7,4,2007,3,18,1,12,1
TPS51,Faith Hill,The Way You Love Me,Mar 2000,10,5,-7,3,7,1,5,"70,000","100,000",3,"100,000,000",5,102,7,7,2000,7,15,0,10,0
TPS52,Adele,Rolling In The Deep,Dec 2010,10,6,-5,5,11,2,60,"600,000","1,000,000",3.5,"3,000,000,000",50,105,3,7,2010,11,18,1,13,1
TPS53,Tom Odell,Another Love,Dec 2012,2,10,-9,2,8,2,12,"40,000","100,000",3,"300,000,000",5,123,2,3,2012,11,15,0,7,1
TPS54,The Calling,Wherever You Will Go,Nov 2001,7,6,-5,4,8,2,6,"30,000","100,000",3,"200,000,000",5,112,6,5,2001,5,18,0,11,0
TPS55,Kanye West & Jamie Foxx,Gold Digger,Jul 2005,10,2,-6,2,12,1,53,"300,000","250,000",3,"300,000,000",10,93,6,6,2005,3,15,1,12,1
TPS56,Kelly Clarkson,Since U Been Gone,Dec 2004,9,5,-5,4,9,1,17,"200,000","300,000",3.5,"300,000,000",30,131,4,7,2004,2,15,1,10,1
TPS57,Creed,With Arms Wide Open,May 2000,8,8,-8,5,8,2,12,"80,000","200,000",3.5,"400,000,000",10,139,4,4,2000,5,18,1,10,0
TPS58,SZA,Kill Bill,Dec 2022,7,3,-6,1,7,1,44,"100,000","500,000",3,"400,000,000",20,89,3,6,2022,1,15,0,13,1
TPS59,Jennifer Lopez & Ja Rule,I'm Real,Jul 2001,10,2,-8,4,8,1,14,"150,000","300,000",3,"100,000,000",15,83,5,4,2001,1,15,1,9,1
TPS60,Maroon 5,This Love,Feb 2004,7,6,-5,4,10,2,62,"400,000","700,000",3.5,"400,000,000",50,95,3,6,2004,2,15,0,12,1
TPS61,Lady GaGa,Poker Face,Sep 2008,7,2,-5,5,12,2,56,"300,000","600,000",3,"1,500,000,000",40,119,5,7,2008,2,15,1,15,1
TPS62,Destiny's Child,Independent Woman,Sep 2000,6,2,-4,4,9,1,17,"100,000","200,000",3.5,"200,000,000",10,98,8,6,2000,1,15,1,10,0
TPS63,Shaggy & Ricardo 'RikRok' Ducent,It Wasn't Me,Nov 2000,8,1,-5,4,8,1,12,"50,000","100,000",3,"1,000,000,000",5,95,5,5,2000,8,15,0,10,0
TPS64,LMFAO,Party Rock Anthem,Feb 2011,7,2,-4,4,11,1,13,"70,000","200,000",3.5,"1,200,000,000",5,130,8,8,2011,10,15,0,14,0
TPS65,Post Malone,Circles,Sep 2019,8,4,-3,1,9,2,66,"600,000","1,200,000",3.5,"1,600,000,000",70,120,3,4,2019,2,15,0,14,0
TPS66,James Blunt,You're Beautiful,Jun 2005,3,7,-10,5,10,1,12,"50,000","150,000",3.5,"700,000,000",5,82,3,2,2005,4,18,0,11,0
TPS67,Enrique Iglesias,Hero,Sep 2001,5,4,-6,4,8,1,20,"200,000","400,000",3.5,"200,000,000",15,152,4,3,2001,2,15,0,10,1
TPS68,Vanessa Carlton,A Thousand Miles,Mar 2002,7,6,-4,4,9,2,9,"30,000","100,000",3.5,"300,000,000",5,95,4,4,2002,2,15,0,10,1
TPS69,Joe Thomas,I Wanna Know,Jan 2000,8,3,-6,3,8,2,4,"20,000","100,000",3,"200,000,000",2,136,4,3,2000,1,15,0,9,1
TPS70,Fergie,Big Girls Don't Cry (Personal),May 2007,4,10,-4,4,10,3,8,"100,000","100,000",3.5,"300,000,000",10,113,3,5,2007,2,15,0,11,1
TPS71,R Kelly,Ignition,Nov 2002,5,1,-7,2,9,1,12,"80,000","100,000",3.5,"200,000,000",15,133,7,6,2002,1,15,0,12,1
TPS72,Aaliyah,Try Again,Mar 2000,5,3,-5,2,8,1,7,"50,000","100,000",3,"200,000,000",5,93,5,4,2000,1,15,0,8,0
TPS73,Timbaland & Keri Hilson,The Way I Are,Jun 2007,6,3,-6,7,10,1,8,"150,000","100,000",3,"300,000,000",5,115,6,4,2007,3,18,0,9,1
TPS74,Linkin Park,In The End,Oct 2001,10,7,-6,2,11,2,35,"300,000","300,000",3,"1,500,000,000",20,105,2,8,2001,5,15,0,10,1
TPS75,Gotye & Kimbra,Somebody That I Used To Know,Jul 2011,8,8,-7,4,10,2,18,"40,000","100,000",3.5,"1,500,000,000",5,129,3,4,2011,6,15,1,11,1
TPS76,Leona Lewis,Bleeding Love,Oct 2007,3,8,-6,3,12,3,10,"60,000","100,000",3.5,"600,000,000",5,104,4,6,2007,2,15,1,12,1
TPS77,Ciara & Petey Pablo,Goodies,Jun 2004,6,1,-6,3,9,1,8,"70,000","100,000",3,"100,000,000",5,102,5,5,2004,3,18,0,11,0
TPS78,Evanescence & Paul McCoy,Bring Me To Life,Mar 2003,10,4,-3,4,11,2,20,"80,000","200,000",3.5,"300,000,000",5,95,4,7,2003,5,15,1,12,1
TPS79,Toni Braxton,He Wasn't Man Enough,Aug 2003,7,2,-2,1,8,1,7,"60,000","100,000",3.5,"200,000,000",5,88,4,4,2000,1,15,0,8,0
TPS80,Three Doors Down,Here Without You,Jun 2014,8,6,-7,3,9,2,9,"80,000","150,000",3,"300,000,000",5,144,6,4,2003,5,18,0,10,1
TPS81,	Ed Sheeran,Thinking Out Loud,Feb 2003,8,10,-6,3,13,2,105,"1,200,000","1,500,000",3.5,"2,000,000,000",60,79,7,3,2014,2,15,0,15,1
TPS82,Sean Paul,Get Busy,Sep 2001,5,1,-4,1,10,1,30,"100,000","300,000",3,"600,000,000",10,100,8,7,2003,8,15,0,10,0
TPS83,Usher,U Got It Bad,Dec 2015,3,6,-5,5,9,1,20,"300,000","500,000",3.5,"300,000,000",30,124,3,4,2001,1,15,1,10,0
TPS84,Sia,Cheap Thrills,Sep 2007,4,3,-6,5,11,1,38,"200,000","300,000",3.5,"2,600,000,000",20,90,7,8,2015,2,15,0,12,0
TPS85,Alica Keys,No One,Jan 2000,5,5,-5,5,10,2,24,"100,000","200,000",3.5,"400,000,000",15,90,4,6,2007,1,15,1,10,1
TPS86,Rob Thomas & Santana,Smooth,Apr 2006,7,3,-4,1,9,1,22,"60,000","100,000",3.5,"200,000,000",5,116,6,6,2000,4,15,1,12,1
TPS87,Shakira & Wyclef Jean,Hips Don't Lie,Apr 2006,7,2,-6,4,14,1,36,"150,000","300,000",3.5,"1,300,000,000",10,100,7,8,2006,8,15,0,12,1
TPS88,The Fray,How To Save A Life,Apr 2006,5,10,-4,4,10,2,18,"80,000","150,000",3.5,"500,000,000",5,122,2,4,2006,5,15,0,12,0
TPS89,John Legend,All Of Me,Sep 2013,2,10,-7,3,12,2,25,"150,000","300,000",3.5,"1,800,000,000",15,120,6,3,2013,1,15,1,14,1
TPS90,Madonna,Music,Aug 2000,4,1,-9,3,8,1,18,"200,000","400,000",3,"300,000,000",20,120,7,6,2000,2,15,1,10,1
TPS91,OutKast,The Way You Move,Sep 2003,5,1,-5,5,10,1,21,"100,000","150,000",3,"500,000,000",10,126,6,7,2003,3,15,1,12,1
TPS92,Camila Cabello & Young Thug,Havana,Aug 2017,3,3,-4,2,13,1,42,"300,000","250,000",3,"2,000,000,000",15,105,4,4,2017,2,15,0,14,1
TPS93,Avril Lavigne,Complicated,Jun 2002,10,7,-6,2,9,2,18,"100,000","200,000",3.5,"400,000,000",15,78,6,6,2002,2,15,0,11,1
TPS94,Matchbox Twenty,Unwell,Mar 2003,8,6,-5,3,8,3,12,"150,000","200,000",3.5,"200,000,000",10,81,4,3,2003,5,15,0,10,0
TPS95,Vertical Horizon,Everything You Want,Jan 2000,8,8,-6,6,7,2,3,"30,000","100,000",3,"200,000,000",2,94,6,4,2000,2,15,0,9,0
TPS96,SZA,Snooze,Dec 2022,6,5,-7,3,6,1,64,"100,000","500,000",3,"300,000,000",20,143,7,4,2022,1,15,0,9,1
TPS97,Lady Gaga ft Bradley Cooper,Shallow,Oct 2018,8,9,-6,3,10,2,51,"200,000","250,000",3,"1,300,000,000",5,96,8,7,2018,2,15,1,12,1
TPS98,Cira & Missy 'Misdemeanor' Elliot,1-2 Step,Oct 2004,6,1,-11,2,8,1,6,"100,000","150,000",3.5,"100,000,000",5,113,8,6,2004,3,15,0,9,1
TPS99,Eve & Gwen Stefani,Let Me Blow Ya Mind,Apr 2001,7,2,-4,5,9,1,5,"50,000","150,000",3,"300,000,000",5,90,5,4,2001,3,18,0,9,1
